AUC,Accuracy,ClassificationReport,F1-Macro,F1-Micro,F1-Weighted,Precision-Macro,Precision-Micro,Precision-Weighted,Recall-Macro,Recall-Micro,Recall-Weighted
<function auc at 0x124be1560>,0.7327586206896551,"              precision    recall  f1-score   support

           0       0.94      0.50      0.65       116
           1       0.66      0.97      0.78       116

    accuracy                           0.73       232
   macro avg       0.80      0.73      0.72       232
weighted avg       0.80      0.73      0.72       232
",0.7174510882376051,0.732758620689655,0.7174510882376051,0.7971537001897533,0.7327586206896551,0.7971537001897533,0.7327586206896552,0.7327586206896551,0.7327586206896551
<function auc at 0x124be1560>,0.7370689655172413,"              precision    recall  f1-score   support

           0       1.00      0.47      0.64       116
           1       0.66      1.00      0.79       116

    accuracy                           0.74       232
   macro avg       0.83      0.74      0.72       232
weighted avg       0.83      0.74      0.72       232
",0.7175418637606531,0.7370689655172413,0.7175418637606531,0.827683615819209,0.7370689655172413,0.827683615819209,0.7370689655172413,0.7370689655172413,0.7370689655172413
<function auc at 0x124be1560>,0.7792207792207793,"              precision    recall  f1-score   support

           0       0.98      0.57      0.72       115
           1       0.70      0.99      0.82       116

    accuracy                           0.78       231
   macro avg       0.84      0.78      0.77       231
weighted avg       0.84      0.78      0.77       231
",0.7683686911385935,0.7792207792207793,0.7685857329002372,0.8409090909090909,0.7792207792207793,0.8402859766496131,0.7782983508245878,0.7792207792207793,0.7792207792207793
<function auc at 0x124be1560>,0.7869565217391304,"              precision    recall  f1-score   support

           0       0.99      0.58      0.73       115
           1       0.70      0.99      0.82       115

    accuracy                           0.79       230
   macro avg       0.84      0.79      0.78       230
weighted avg       0.84      0.79      0.78       230
",0.7776725651496321,0.7869565217391304,0.7776725651496322,0.8444989106753813,0.7869565217391304,0.8444989106753813,0.7869565217391304,0.7869565217391304,0.7869565217391304
<function auc at 0x124be1560>,0.8,"              precision    recall  f1-score   support

           0       0.97      0.62      0.76       115
           1       0.72      0.98      0.83       115

    accuracy                           0.80       230
   macro avg       0.85      0.80      0.79       230
weighted avg       0.85      0.80      0.79       230
",0.7931007509386734,0.8000000000000002,0.7931007509386733,0.8461739813279818,0.8,0.8461739813279818,0.8,0.8,0.8
<function auc at 0x124be1560>,0.7695652173913043,"              precision    recall  f1-score   support

           0       0.96      0.57      0.71       115
           1       0.69      0.97      0.81       115

    accuracy                           0.77       230
   macro avg       0.82      0.77      0.76       230
weighted avg       0.82      0.77      0.76       230
",0.7595233867944999,0.7695652173913043,0.7595233867944999,0.8236201888162673,0.7695652173913043,0.8236201888162673,0.7695652173913043,0.7695652173913043,0.7695652173913043
<function auc at 0x124be1560>,0.717391304347826,"              precision    recall  f1-score   support

           0       1.00      0.43      0.61       115
           1       0.64      1.00      0.78       115

    accuracy                           0.72       230
   macro avg       0.82      0.72      0.69       230
weighted avg       0.82      0.72      0.69       230
",0.6928608115048793,0.717391304347826,0.6928608115048793,0.8194444444444444,0.717391304347826,0.8194444444444444,0.717391304347826,0.717391304347826,0.717391304347826
<function auc at 0x124be1560>,0.7869565217391304,"              precision    recall  f1-score   support

           0       1.00      0.57      0.73       115
           1       0.70      1.00      0.82       115

    accuracy                           0.79       230
   macro avg       0.85      0.79      0.78       230
weighted avg       0.85      0.79      0.78       230
",0.7768272639062159,0.7869565217391304,0.7768272639062159,0.850609756097561,0.7869565217391304,0.850609756097561,0.7869565217391304,0.7869565217391304,0.7869565217391304
<function auc at 0x124be1560>,0.7792207792207793,"              precision    recall  f1-score   support

           0       0.97      0.58      0.72       116
           1       0.70      0.98      0.82       115

    accuracy                           0.78       231
   macro avg       0.83      0.78      0.77       231
weighted avg       0.83      0.78      0.77       231
",0.77010440042931,0.7792207792207793,0.7699062182816695,0.834272678475577,0.7792207792207793,0.8348646343815426,0.7800974512743628,0.7792207792207793,0.7792207792207793
<function auc at 0x124be1560>,0.7608695652173914,"              precision    recall  f1-score   support

           0       0.95      0.55      0.70       115
           1       0.68      0.97      0.80       115

    accuracy                           0.76       230
   macro avg       0.82      0.76      0.75       230
weighted avg       0.82      0.76      0.75       230
",0.7494999900988139,0.7608695652173914,0.7494999900988139,0.8187361419068737,0.7608695652173914,0.8187361419068736,0.7608695652173914,0.7608695652173914,0.7608695652173914
