AUC,Accuracy,ClassificationReport,F1-Macro,F1-Micro,F1-Weighted,Precision-Macro,Precision-Micro,Precision-Weighted,Recall-Macro,Recall-Micro,Recall-Weighted
<function auc at 0x124be1560>,0.6842105263157895,"              precision    recall  f1-score   support

           0       0.95      0.39      0.55        95
           1       0.62      0.98      0.76        95

    accuracy                           0.68       190
   macro avg       0.78      0.68      0.65       190
weighted avg       0.78      0.68      0.65       190
",0.6541681834728794,0.6842105263157895,0.6541681834728794,0.782305994226524,0.6842105263157895,0.782305994226524,0.6842105263157895,0.6842105263157895,0.6842105263157895
<function auc at 0x124be1560>,0.6473684210526316,"              precision    recall  f1-score   support

           0       0.89      0.34      0.49        95
           1       0.59      0.96      0.73        95

    accuracy                           0.65       190
   macro avg       0.74      0.65      0.61       190
weighted avg       0.74      0.65      0.61       190
",0.6097366565498635,0.6473684210526316,0.6097366565498635,0.7398989898989898,0.6473684210526316,0.73989898989899,0.6473684210526316,0.6473684210526316,0.6473684210526316
<function auc at 0x124be1560>,0.6914893617021277,"              precision    recall  f1-score   support

           0       0.93      0.41      0.57        94
           1       0.62      0.97      0.76        94

    accuracy                           0.69       188
   macro avg       0.78      0.69      0.67       188
weighted avg       0.78      0.69      0.67       188
",0.6659313725490196,0.6914893617021277,0.6659313725490196,0.7759295499021527,0.6914893617021277,0.7759295499021527,0.6914893617021276,0.6914893617021277,0.6914893617021277
<function auc at 0x124be1560>,0.6702127659574468,"              precision    recall  f1-score   support

           0       0.90      0.38      0.54        94
           1       0.61      0.96      0.74        94

    accuracy                           0.67       188
   macro avg       0.75      0.67      0.64       188
weighted avg       0.75      0.67      0.64       188
",0.6405575428641914,0.6702127659574468,0.6405575428641915,0.7540540540540541,0.6702127659574468,0.754054054054054,0.6702127659574468,0.6702127659574468,0.6702127659574468
<function auc at 0x124be1560>,0.6914893617021277,"              precision    recall  f1-score   support

           0       0.97      0.39      0.56        94
           1       0.62      0.99      0.76        94

    accuracy                           0.69       188
   macro avg       0.80      0.69      0.66       188
weighted avg       0.80      0.69      0.66       188
",0.661450571286637,0.6914893617021277,0.6614505712866369,0.7968421052631579,0.6914893617021277,0.7968421052631578,0.6914893617021277,0.6914893617021277,0.6914893617021277
<function auc at 0x124be1560>,0.6595744680851063,"              precision    recall  f1-score   support

           0       1.00      0.32      0.48        94
           1       0.59      1.00      0.75        94

    accuracy                           0.66       188
   macro avg       0.80      0.66      0.61       188
weighted avg       0.80      0.66      0.61       188
",0.6149513568868408,0.6595744680851063,0.6149513568868407,0.7974683544303798,0.6595744680851063,0.7974683544303798,0.6595744680851063,0.6595744680851063,0.6595744680851063
<function auc at 0x124be1560>,0.6276595744680851,"              precision    recall  f1-score   support

           0       0.93      0.28      0.43        94
           1       0.57      0.98      0.72        94

    accuracy                           0.63       188
   macro avg       0.75      0.63      0.58       188
weighted avg       0.75      0.63      0.58       188
",0.5753194785078095,0.6276595744680851,0.5753194785078095,0.7517857142857143,0.6276595744680851,0.7517857142857143,0.6276595744680851,0.6276595744680851,0.6276595744680851
<function auc at 0x124be1560>,0.6968085106382979,"              precision    recall  f1-score   support

           0       0.95      0.41      0.58        94
           1       0.63      0.98      0.76        94

    accuracy                           0.70       188
   macro avg       0.79      0.70      0.67       188
weighted avg       0.79      0.70      0.67       188
",0.6706316274781006,0.6968085106382979,0.6706316274781006,0.7885349261655882,0.6968085106382979,0.7885349261655882,0.6968085106382979,0.6968085106382979,0.6968085106382979
<function auc at 0x124be1560>,0.6436170212765957,"              precision    recall  f1-score   support

           0       0.94      0.31      0.46        94
           1       0.59      0.98      0.73        94

    accuracy                           0.64       188
   macro avg       0.76      0.64      0.60       188
weighted avg       0.76      0.64      0.60       188
",0.5985338645418327,0.6436170212765957,0.5985338645418327,0.7607355660571193,0.6436170212765957,0.7607355660571195,0.6436170212765957,0.6436170212765957,0.6436170212765957
<function auc at 0x124be1560>,0.6861702127659575,"              precision    recall  f1-score   support

           0       0.91      0.41      0.57        94
           1       0.62      0.96      0.75        94

    accuracy                           0.69       188
   macro avg       0.76      0.69      0.66       188
weighted avg       0.76      0.69      0.66       188
",0.6612405705036191,0.6861702127659575,0.6612405705036192,0.7638331996792301,0.6861702127659575,0.7638331996792301,0.6861702127659575,0.6861702127659575,0.6861702127659575
