AUC,Accuracy,ClassificationReport,F1-Macro,F1-Micro,F1-Weighted,Precision-Macro,Precision-Micro,Precision-Weighted,Recall-Macro,Recall-Micro,Recall-Weighted
<function auc at 0x124be1560>,0.7456896551724138,"              precision    recall  f1-score   support

           0       0.97      0.51      0.67       116
           1       0.67      0.98      0.79       116

    accuracy                           0.75       232
   macro avg       0.82      0.75      0.73       232
weighted avg       0.82      0.75      0.73       232
",0.7305458768873403,0.7456896551724138,0.7305458768873403,0.8169398907103824,0.7456896551724138,0.8169398907103824,0.7456896551724137,0.7456896551724138,0.7456896551724138
<function auc at 0x124be1560>,0.7586206896551724,"              precision    recall  f1-score   support

           0       0.97      0.53      0.69       116
           1       0.68      0.98      0.80       116

    accuracy                           0.76       232
   macro avg       0.82      0.76      0.75       232
weighted avg       0.82      0.76      0.75       232
",0.7458528951486698,0.7586206896551724,0.7458528951486698,0.8236607142857143,0.7586206896551724,0.8236607142857143,0.7586206896551724,0.7586206896551724,0.7586206896551724
<function auc at 0x124be1560>,0.8146551724137931,"              precision    recall  f1-score   support

           0       1.00      0.63      0.77       116
           1       0.73      1.00      0.84       116

    accuracy                           0.81       232
   macro avg       0.86      0.81      0.81       232
weighted avg       0.86      0.81      0.81       232
",0.808061568061568,0.8146551724137931,0.808061568061568,0.8647798742138364,0.8146551724137931,0.8647798742138365,0.8146551724137931,0.8146551724137931,0.8146551724137931
<function auc at 0x124be1560>,0.8017241379310345,"              precision    recall  f1-score   support

           0       0.99      0.61      0.76       116
           1       0.72      0.99      0.83       116

    accuracy                           0.80       232
   macro avg       0.85      0.80      0.79       232
weighted avg       0.85      0.80      0.79       232
",0.7943262411347518,0.8017241379310345,0.7943262411347518,0.8524305555555556,0.8017241379310345,0.8524305555555557,0.8017241379310345,0.8017241379310345,0.8017241379310345
<function auc at 0x124be1560>,0.7478260869565218,"              precision    recall  f1-score   support

           0       0.95      0.52      0.67       115
           1       0.67      0.97      0.79       115

    accuracy                           0.75       230
   macro avg       0.81      0.75      0.73       230
weighted avg       0.81      0.75      0.73       230
",0.7342417722527691,0.7478260869565218,0.7342417722527691,0.8115198175078414,0.7478260869565218,0.8115198175078414,0.7478260869565218,0.7478260869565218,0.7478260869565218
<function auc at 0x124be1560>,0.7478260869565218,"              precision    recall  f1-score   support

           0       0.95      0.52      0.67       115
           1       0.67      0.97      0.79       115

    accuracy                           0.75       230
   macro avg       0.81      0.75      0.73       230
weighted avg       0.81      0.75      0.73       230
",0.7342417722527691,0.7478260869565218,0.7342417722527691,0.8115198175078414,0.7478260869565218,0.8115198175078414,0.7478260869565218,0.7478260869565218,0.7478260869565218
<function auc at 0x124be1560>,0.8173913043478261,"              precision    recall  f1-score   support

           0       0.99      0.64      0.78       115
           1       0.74      0.99      0.84       115

    accuracy                           0.82       230
   macro avg       0.86      0.82      0.81       230
weighted avg       0.86      0.82      0.81       230
",0.8116959064327486,0.817391304347826,0.8116959064327486,0.8610752688172043,0.8173913043478261,0.8610752688172043,0.817391304347826,0.8173913043478261,0.8173913043478261
<function auc at 0x124be1560>,0.7608695652173914,"              precision    recall  f1-score   support

           0       0.98      0.53      0.69       115
           1       0.68      0.99      0.81       115

    accuracy                           0.76       230
   macro avg       0.83      0.76      0.75       230
weighted avg       0.83      0.76      0.75       230
",0.7474596234852569,0.7608695652173914,0.7474596234852569,0.831221198156682,0.7608695652173914,0.831221198156682,0.7608695652173914,0.7608695652173914,0.7608695652173914
<function auc at 0x124be1560>,0.7695652173913043,"              precision    recall  f1-score   support

           0       0.93      0.58      0.72       115
           1       0.70      0.96      0.81       115

    accuracy                           0.77       230
   macro avg       0.81      0.77      0.76       230
weighted avg       0.81      0.77      0.76       230
",0.7612191729838789,0.7695652173913043,0.7612191729838789,0.8133790436005626,0.7695652173913043,0.8133790436005626,0.7695652173913043,0.7695652173913043,0.7695652173913043
<function auc at 0x124be1560>,0.8173913043478261,"              precision    recall  f1-score   support

           0       0.99      0.64      0.78       115
           1       0.74      0.99      0.84       115

    accuracy                           0.82       230
   macro avg       0.86      0.82      0.81       230
weighted avg       0.86      0.82      0.81       230
",0.8116959064327486,0.817391304347826,0.8116959064327486,0.8610752688172043,0.8173913043478261,0.8610752688172043,0.817391304347826,0.8173913043478261,0.8173913043478261
