AUC,Accuracy,ClassificationReport,F1-Macro,F1-Micro,F1-Weighted,Precision-Macro,Precision-Micro,Precision-Weighted,Recall-Macro,Recall-Micro,Recall-Weighted
<function auc at 0x124be1560>,0.7110091743119266,"              precision    recall  f1-score   support

           0       0.98      0.43      0.60       109
           1       0.64      0.99      0.77       109

    accuracy                           0.71       218
   macro avg       0.81      0.71      0.69       218
weighted avg       0.81      0.71      0.69       218
",0.6864598315183892,0.7110091743119266,0.6864598315183892,0.8072303921568627,0.7110091743119266,0.8072303921568628,0.7110091743119267,0.7110091743119266,0.7110091743119266
<function auc at 0x124be1560>,0.7431192660550459,"              precision    recall  f1-score   support

           0       1.00      0.49      0.65       109
           1       0.66      1.00      0.80       109

    accuracy                           0.74       218
   macro avg       0.83      0.74      0.72       218
weighted avg       0.83      0.74      0.72       218
",0.7249707128052627,0.743119266055046,0.7249707128052627,0.8303030303030303,0.7431192660550459,0.8303030303030303,0.7431192660550459,0.7431192660550459,0.7431192660550459
<function auc at 0x124be1560>,0.7568807339449541,"              precision    recall  f1-score   support

           0       0.95      0.54      0.69       109
           1       0.68      0.97      0.80       109

    accuracy                           0.76       218
   macro avg       0.82      0.76      0.75       218
weighted avg       0.82      0.76      0.75       218
",0.7450292397660818,0.7568807339449543,0.7450292397660817,0.815550041356493,0.7568807339449541,0.815550041356493,0.7568807339449541,0.7568807339449541,0.7568807339449541
<function auc at 0x124be1560>,0.7385321100917431,"              precision    recall  f1-score   support

           0       0.96      0.50      0.65       109
           1       0.66      0.98      0.79       109

    accuracy                           0.74       218
   macro avg       0.81      0.74      0.72       218
weighted avg       0.81      0.74      0.72       218
",0.7221066756122108,0.7385321100917431,0.7221066756122108,0.812389770723104,0.7385321100917431,0.8123897707231041,0.7385321100917431,0.7385321100917431,0.7385321100917431
<function auc at 0x124be1560>,0.6697247706422018,"              precision    recall  f1-score   support

           0       0.89      0.39      0.54       109
           1       0.61      0.95      0.74       109

    accuracy                           0.67       218
   macro avg       0.75      0.67      0.64       218
weighted avg       0.75      0.67      0.64       218
",0.6406593406593406,0.6697247706422018,0.6406593406593407,0.7509020778897598,0.6697247706422018,0.7509020778897598,0.6697247706422018,0.6697247706422018,0.6697247706422018
<function auc at 0x124be1560>,0.7431192660550459,"              precision    recall  f1-score   support

           0       0.93      0.52      0.67       109
           1       0.67      0.96      0.79       109

    accuracy                           0.74       218
   macro avg       0.80      0.74      0.73       218
weighted avg       0.80      0.74      0.73       218
",0.730030959752322,0.743119266055046,0.730030959752322,0.8016080192126971,0.7431192660550459,0.8016080192126972,0.7431192660550459,0.7431192660550459,0.7431192660550459
<function auc at 0x124be1560>,0.7155963302752294,"              precision    recall  f1-score   support

           0       0.98      0.44      0.61       109
           1       0.64      0.99      0.78       109

    accuracy                           0.72       218
   macro avg       0.81      0.72      0.69       218
weighted avg       0.81      0.72      0.69       218
",0.692286676987524,0.7155963302752294,0.6922866769875239,0.8093225455862818,0.7155963302752294,0.8093225455862819,0.7155963302752294,0.7155963302752294,0.7155963302752294
<function auc at 0x124be1560>,0.7201834862385321,"              precision    recall  f1-score   support

           0       1.00      0.44      0.61       109
           1       0.64      1.00      0.78       109

    accuracy                           0.72       218
   macro avg       0.82      0.72      0.70       218
weighted avg       0.82      0.72      0.70       218
",0.6964134876606625,0.7201834862385322,0.6964134876606626,0.8205882352941176,0.7201834862385321,0.8205882352941176,0.7201834862385321,0.7201834862385321,0.7201834862385321
<function auc at 0x124be1560>,0.7522935779816514,"              precision    recall  f1-score   support

           0       0.95      0.53      0.68       109
           1       0.68      0.97      0.80       109

    accuracy                           0.75       218
   macro avg       0.81      0.75      0.74       218
weighted avg       0.81      0.75      0.74       218
",0.739672711189739,0.7522935779816514,0.739672711189739,0.8129894538999687,0.7522935779816514,0.8129894538999686,0.7522935779816514,0.7522935779816514,0.7522935779816514
<function auc at 0x124be1560>,0.7935779816513762,"              precision    recall  f1-score   support

           0       1.00      0.59      0.74       109
           1       0.71      1.00      0.83       109

    accuracy                           0.79       218
   macro avg       0.85      0.79      0.78       218
weighted avg       0.85      0.79      0.78       218
",0.7843908657333127,0.7935779816513762,0.7843908657333128,0.8538961038961039,0.7935779816513762,0.8538961038961039,0.7935779816513762,0.7935779816513762,0.7935779816513762
